10,10,-1,10,10,-1,-1,-1,-1,0.20570150922302963,0
10,10,10,10,10,10,-1,-1,-1,0.20575901593514118,0
10,10,10,10,10,1,-1,-1,-1,0.2,0
10,10,10,10,10,10,-1,-1,-1,0.20587412587412587,0
10,10,10,10,10,1,-1,-1,-1,0.2,0
10,10,10,10,10,10,1,10,9,0.16666666666666666,0
3,10,10,9,10,10,9,10,10,0.2,0
10,10,10,3,10,10,10,10,9,0.2,0
10,10,10,3,10,10,9,3,2,0.25,0
2,2,9,10,10,10,10,10,10,0.3333333333333333,0
10,10,3,10,10,9,10,10,10,0.3333333333333333,1
10,10,-1,10,10,-1,-1,-1,-1,0.20659770757618115,1
10,10,-1,10,10,-1,-1,-1,-1,0.20662768031189083,0
10,10,10,10,10,10,-1,-1,-1,0.20668523676880224,1
10,10,-1,10,10,-1,10,10,-1,0.32786885245901637,0
9,10,10,9,10,1,9,10,10,0.2,0
10,10,-1,10,10,-1,4,1,-1,0.25,0
10,10,10,10,10,10,3,2,9,0.3333333333333333,0
-1,10,10,-1,10,10,-1,10,10,0.3076923076923077,1
-1,-1,-1,10,10,10,1,10,10,0.16666666666666666,0
-1,10,10,-1,10,2,-1,10,10,0.3333333333333333,0
-1,10,10,-1,10,10,-1,1,2,0.25,0
-1,10,10,-1,10,10,-1,1,10,0.3333333333333333,0
3,10,10,9,10,10,9,10,10,0.3333333333333333,0
9,10,10,4,10,10,9,10,10,0.3333333333333333,0
-1,-1,-1,10,10,-1,10,1,-1,0.3333333333333333,0
3,4,9,10,10,9,-1,-1,-1,0.5,0
10,10,3,10,10,9,-1,-1,-1,0.5,0
10,10,5,10,10,9,1,3,9,0.5,1
10,10,-1,10,10,-1,-1,-1,-1,0.20808254514187446,1
9,3,9,10,10,10,10,10,10,0.3333333333333333,0
10,10,3,10,10,9,9,9,9,0.3333333333333333,0
9,10,10,9,10,10,10,10,5,0.3333333333333333,0
10,10,10,10,10,10,3,3,9,0.3333333333333333,0
4,10,10,10,10,10,-1,-1,-1,0.4,0
