10,10,-1,10,10,-1,-1,-1,-1,0.21286031042128603,0
10,10,10,10,10,10,-1,-1,-1,0.21333333333333335,0
10,10,10,10,10,1,-1,-1,-1,0.2,0
10,10,-1,10,10,-1,10,10,-1,0.3125,0
10,10,-1,10,10,-1,10,10,-1,0.31645569620253167,0
10,10,10,10,10,1,10,10,10,0.2,1
10,10,-1,10,10,-1,-1,-1,-1,0.20950323974082075,1
10,10,-1,10,10,-1,-1,-1,-1,0.2096069868995633,0
-1,10,10,-1,10,10,-1,-1,-1,0.25,0
10,10,4,1,10,2,-1,-1,-1,0.4444444444444444,0
10,10,-1,10,10,-1,-1,-1,-1,0.20798319327731093,0
10,10,10,10,10,10,-1,-1,-1,0.20842105263157895,0
10,10,10,10,10,10,-1,-1,-1,0.2088607594936709,0
10,10,10,10,10,1,-1,-1,-1,0.2,1
10,10,-1,10,10,-1,-1,-1,-1,0.20930232558139536,0
10,10,10,10,10,10,-1,-1,-1,0.2109375,0
10,10,-1,10,10,-1,9,9,-1,0.22727272727272727,0
10,10,-1,10,10,-1,10,10,-1,0.2777777777777778,0
10,10,-1,10,10,-1,10,10,-1,0.29411764705882354,0
10,10,-1,10,10,-1,10,10,-1,0.3125,0
10,10,-1,10,10,-1,10,1,-1,0.2,0
9,10,1,3,10,1,9,10,10,0.27777777777777773,0
9,2,-1,10,10,-1,10,1,-1,0.41666666666666663,0
1,10,10,10,10,10,10,10,10,0.2,0
10,10,-1,10,10,-1,-1,-1,-1,0.21120689655172414,0
10,10,10,10,10,10,-1,-1,-1,0.21166306695464362,0
10,10,10,10,10,1,-1,-1,-1,0.2,0
10,10,-1,1,10,-1,10,10,-1,0.16666666666666666,0
10,10,10,10,10,10,-1,-1,-1,0.21621621621621623,0
10,10,10,10,10,1,-1,-1,-1,0.2,0
10,10,-1,10,10,-1,-1,-1,-1,0.20930232558139536,1
2,10,10,10,10,10,10,10,10,0.16666666666666666,0
2,9,9,10,10,10,10,10,10,0.16666666666666666,0
3,10,10,10,10,10,10,10,10,0.2,0
10,3,10,10,10,10,10,10,10,0.2,0
2,10,10,10,10,10,10,10,10,0.2,0
2,10,10,9,10,10,9,10,10,0.2,0
10,10,10,10,10,10,2,10,10,0.25,0
10,10,-1,1,10,-1,10,10,-1,0.14285714285714285,0
4,9,-1,10,10,-1,9,3,-1,0.5,1
10,10,-1,10,10,-1,-1,-1,-1,0.2096069868995633,0
10,10,10,10,10,10,-1,-1,-1,0.2100656455142232,0
10,10,10,10,10,10,-1,-1,-1,0.21052631578947367,0
10,10,10,10,10,10,-1,-1,-1,0.210989010989011,1
-1,10,10,-1,10,10,-1,-1,-1,0.3076923076923077,0
-1,1,10,-1,10,10,-1,1,10,0.3333333333333333,0
10,10,9,10,10,5,4,9,9,0.5,0
1,3,9,10,10,9,1,3,9,0.5,0
1,10,10,10,10,10,10,10,10,0.16666666666666666,0
1,10,10,10,10,10,10,10,10,0.14285714285714285,0
10,10,1,10,10,10,10,10,10,0.16666666666666666,0
10,10,10,10,10,10,1,10,10,0.2,0
10,10,10,1,10,10,10,10,10,0.14285714285714285,0
10,10,-1,10,10,-1,-1,-1,-1,0.2053872053872054,1
10,10,-1,10,10,-1,2,1,-1,0.5,0
-1,-1,-1,10,10,-1,5,2,-1,0.5,1
2,10,10,10,10,10,10,10,10,0.16666666666666666,0
10,10,2,10,10,10,10,10,10,0.2,0
10,10,-1,10,10,-1,-1,-1,-1,0.20824295010845986,1
1,10,10,10,10,10,10,10,10,0.2,0
1,10,10,10,10,10,10,10,10,0.14285714285714285,0
10,10,1,10,10,10,10,10,10,0.16666666666666666,0
10,1,10,10,10,10,10,10,10,0.14285714285714285,0
1,10,10,10,10,10,10,10,10,0.14285714285714285,0
10,10,1,10,10,10,10,10,10,0.16666666666666666,0
10,1,10,10,10,10,10,10,10,0.14285714285714285,0
1,10,10,10,10,10,10,10,10,0.14285714285714285,0
10,10,1,10,10,10,10,10,10,0.16666666666666666,0
10,10,1,10,10,1,10,1,10,0.17777777777777778,0
1,10,10,10,10,10,1,10,10,0.2,0
10,10,10,1,10,10,10,10,10,0.16666666666666666,0
1,10,-1,10,10,-1,10,10,-1,0.14285714285714285,0
10,10,-1,10,10,-1,-1,-1,-1,0.36666666666666664,0
10,10,10,10,10,1,-1,-1,-1,0.3333333333333333,1
10,10,10,10,10,10,-1,-1,-1,0.3333333333333333,0
-1,10,10,-1,10,1,-1,-1,-1,0.2,0
9,9,-1,9,10,-1,9,9,-1,0.3333333333333333,0
-1,-1,-1,10,10,-1,3,1,-1,0.5,1
10,10,-1,10,10,-1,-1,-1,-1,0.20930232558139536,0
10,10,10,10,10,10,-1,-1,-1,0.21108742004264391,0
10,10,10,10,10,1,-1,-1,-1,0.2,0
2,10,10,1,10,10,-1,-1,-1,0.3333333333333333,1
10,10,-1,10,10,-1,-1,-1,-1,0.18867924528301888,0
10,3,9,10,10,10,10,10,10,0.2,0
10,10,10,10,10,10,-1,-1,-1,0.21818181818181817,0
10,10,10,10,10,1,-1,-1,-1,0.2,0
10,10,10,10,10,10,10,10,10,0.2222222222222222,0
-1,10,10,-1,10,10,-1,10,10,0.22429906542056074,1
-1,9,9,-1,10,9,-1,9,9,1.0,1
10,10,-1,10,10,-1,-1,-1,-1,0.20930232558139536,0
9,10,10,10,10,10,-1,-1,-1,0.4444444444444444,1
10,10,-1,10,10,-1,-1,-1,-1,0.20425531914893616,1
10,10,-1,10,10,-1,-1,-1,-1,0.20930232558139536,0
4,10,5,1,10,9,-1,-1,-1,0.5,0
-1,10,9,-1,10,10,-1,10,10,0.3888888888888889,0
-1,10,10,-1,10,9,-1,2,10,0.25,0
-1,2,10,-1,10,10,-1,10,4,0.3666666666666667,0
-1,9,4,-1,10,10,-1,2,9,0.41666666666666663,0
2,4,9,10,10,9,1,3,9,0.5,1
10,10,1,10,10,10,10,10,10,0.2,0
10,10,-1,10,10,-1,-1,-1,-1,0.21212121212121213,0
10,10,10,10,10,10,1,10,10,0.16666666666666666,0
10,10,10,10,10,10,10,10,1,0.2,0
10,10,9,10,10,9,-1,-1,-1,0.21256038647342995,0
10,10,10,10,10,10,-1,-1,-1,0.21307506053268765,0
10,10,10,10,10,1,-1,-1,-1,0.2,0
10,10,10,10,10,10,-1,-1,-1,0.2141119221411192,0
10,10,10,10,10,1,-1,-1,-1,0.2,0
10,10,10,10,10,10,-1,-1,-1,0.21515892420537897,0
10,10,10,10,10,1,-1,-1,-1,0.2,1
3,10,10,10,10,10,10,10,10,0.2,0
1,10,10,10,10,10,10,10,10,0.14285714285714285,0
1,10,10,10,10,10,10,10,10,0.14285714285714285,0
10,10,1,10,10,10,10,10,10,0.16666666666666666,0
10,1,10,10,10,10,10,10,10,0.14285714285714285,0
10,10,1,10,10,10,10,10,1,0.16666666666666666,0
10,10,-1,10,10,-1,-1,-1,-1,0.20506912442396313,0
10,10,10,10,10,10,-1,-1,-1,0.2069767441860465,0
10,10,10,10,10,10,-1,-1,-1,0.20745920745920746,0
10,10,10,10,10,1,-1,-1,-1,0.2,0
10,10,9,10,10,9,-1,-1,-1,0.20665083135391923,0
10,10,10,10,10,10,-1,-1,-1,0.20537897310513448,0
10,10,10,10,10,1,-1,-1,-1,0.2,0
10,10,-1,10,10,-1,10,10,-1,0.20854271356783918,0
10,10,10,10,10,1,10,10,10,0.2,0
10,10,10,10,10,10,10,10,10,0.20959595959595959,0
10,10,10,10,10,1,10,10,10,0.125,0
10,10,10,10,10,1,10,10,10,0.14285714285714285,1
3,10,10,10,10,10,10,10,10,0.2,0
1,10,10,10,10,10,10,10,10,0.14285714285714285,0
10,10,1,10,10,10,10,10,10,0.16666666666666666,1
6,10,9,9,10,4,9,10,9,0.41666666666666663,0
1,10,9,3,10,4,9,9,9,0.5,0
2,10,10,10,10,10,10,10,10,0.2,1
10,10,-1,10,10,-1,-1,-1,-1,0.20798319327731093,0
10,10,10,10,10,10,-1,-1,-1,0.2097457627118644,0
10,10,10,10,10,10,-1,-1,-1,0.21019108280254778,0
10,10,10,10,10,1,-1,-1,-1,0.2,0
10,10,10,10,10,10,-1,-1,-1,0.21108742004264391,0
10,10,10,10,10,10,-1,-1,-1,0.21153846153846154,1
10,10,-1,10,10,-1,-1,-1,-1,0.20985010706638116,0
10,10,10,10,10,10,-1,-1,-1,0.21030042918454936,0
10,10,10,10,10,1,-1,-1,-1,0.2,0
10,10,10,10,10,10,-1,-1,-1,0.21120689655172414,0
10,10,10,10,10,1,-1,-1,-1,0.2,0
10,10,10,10,10,10,-1,-1,-1,0.21212121212121213,0
10,10,10,10,10,10,-1,-1,-1,0.21258134490238612,0
10,10,10,10,10,1,-1,-1,-1,0.2,0
-1,10,9,-1,10,9,-1,-1,-1,0.21100917431192662,0
10,10,-1,10,10,-1,10,10,-1,0.20833333333333334,0
10,10,10,10,10,1,10,10,10,0.2,0
10,10,10,10,10,10,10,10,10,0.20930232558139536,1
2,10,-1,10,10,-1,10,10,-1,0.2,0
10,10,-1,10,10,-1,-1,-1,-1,0.20816326530612245,0
10,10,10,10,10,10,-1,-1,-1,0.20901639344262296,1
10,10,-1,10,10,-1,-1,-1,-1,0.2196969696969697,0
10,10,10,10,10,10,-1,-1,-1,0.22193877551020408,0
10,10,10,10,10,10,-1,-1,-1,0.22250639386189258,0
1,10,10,10,10,10,10,10,10,0.2,0
1,10,10,10,10,10,10,10,10,0.14285714285714285,0
10,10,10,10,10,10,1,10,10,0.16666666666666666,0
10,1,10,10,10,2,9,10,10,0.24285714285714285,1
1,10,10,10,10,10,10,10,10,0.2,0
1,10,10,10,10,10,10,10,10,0.14285714285714285,0
-1,10,1,-1,10,10,-1,10,10,0.16666666666666666,0
-1,10,10,-1,10,10,-1,10,1,0.2,0
10,10,-1,10,10,-1,-1,-1,-1,0.21052631578947367,0
10,10,10,10,10,10,-1,-1,-1,0.19387755102040816,0
10,10,10,10,10,10,-1,-1,-1,0.1958762886597938,0
-1,-1,-1,10,10,-1,10,10,-1,0.4444444444444444,0
10,10,-1,10,10,-1,3,1,-1,0.5,0
-1,-1,-1,9,10,10,9,9,10,0.5,0
4,10,2,9,10,10,9,4,2,0.5416666666666666,0
10,10,-1,10,10,-1,-1,-1,-1,0.20815450643776823,1
-1,10,9,-1,10,2,-1,-1,-1,0.5,0
10,10,-1,10,10,-1,-1,-1,-1,0.20718816067653276,0
